ResponseId;DistributionChannel;UserLanguage;Q49;study program;Q12;Q13_1;Q13_2;Q15_1;Q15_2;Q15_3;Q15_4;Q16_1;Q16_2;Q16_3;Q16_4;Q16_5;Q22;Q23;Q24;Q25;Q25_6_TEXT;Q30;Q31;Q32_1;Q32_2;Q34;Q35;Q36;Q38;Introduction_DO_Q1;Introduction_DO_Q69;Introduction_DO_Q68;Introduction_DO_Q67;Introduction_DO_Q66;Introduction_DO_Q65;Introduction_DO_Q64;Introduction_DO_Q63;Introduction_DO_Q62
R_3pnh9Y9Oz2LJN6c;anonymous;EN;By clicking this button I agree to participate in this study.;MSc;Disagree;Disagree;Disagree;Disagree;Strongly Disagree;Neutral;Agree;Disagree;Agree;Disagree;Neutral;Agree;Male;21 - 24;India;Computer Science;;Agree;Strongly agree;Agree;Agree;Agree;Agree;Agree;;1;;;2;;;;;
R_2SqsTY7VQp7VUQT;anonymous;EN;By clicking this button I agree to participate in this study.;BSc;Agree;Strongly agree;Neutral;Agree;Disagree;Neutral;Neutral;Agree;Neutral;Agree;Agree;Neutral;Male;18 - 20;Indonesia;Artificial Intelligence;;Strongly agree;Neutral;Strongly agree;Agree;Agree;Agree;Agree;;1;;;2;;;;;
R_1M0QFSM0MxL9XyE;anonymous;EN;By clicking this button I agree to participate in this study.;MSc;Disagree;Neutral;Agree;Agree;Disagree;Agree;Disagree;Neutral;Neutral;Neutral;Neutral;Neutral;Male;Above 25;Romania;Computer Science;;Strongly agree;Agree;Agree;Strongly agree;Agree;Neutral;Strongly disagree;;1;;;;;2;;;
R_1FgkHQdZB6DoIPe;anonymous;EN;By clicking this button I agree to participate in this study.;BSc;Strongly disagree;Agree;Strongly Disagree;Strongly Disagree;Disagree;Strongly Disagree;Strongly Disagree;Disagree;Neutral;Neutral;Disagree;Strongly disagree;Male;18 - 20;Germany;Computer Science;;Strongly agree;Strongly agree;Agree;Strongly agree;Strongly agree;Agree;;;1;;;;;;;;2
R_2X72g7pxKtLInMT;anonymous;EN;By clicking this button I agree to participate in this study.;BSc;Disagree;Disagree;Disagree;Agree;Disagree;Disagree;Disagree;Neutral;Neutral;Neutral;Agree;Agree;Male;21 - 24;Suriname;Computer Science;;Agree;Disagree;Agree;Agree;Agree;Agree;Agree;;1;;;;2;;;;
R_3mUyo8Y5cxfjYfT;anonymous;EN;By clicking this button I agree to participate in this study.;BSc;Neutral;Disagree;Agree;Neutral;Strongly Disagree;Disagree;Disagree;Neutral;Neutral;Disagree;Neutral;Neutral;Male;18 - 20;Netherlands;Computer Science;;Neutral;Strongly disagree;Agree;Neutral;Disagree;Neutral;Neutral;;1;;;;2;;;;
R_2rYNybZt5AFkDgR;anonymous;EN;By clicking this button I agree to participate in this study.;MSc;Disagree;Agree;Disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Neutral;Neutral;Neutral;Strongly disagree;Strongly disagree;Male;Above 25;India;Computer Science;;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;;The Consultant could have come up with better solutions such as blacklisting IP after a complete analysis of the infrastructure's files.;1;;;;;;;;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
